"which_localization"	"ensembl_gene_id_version"	"percentage_gene_gc_content"	"gene_biotype"	"tmhmm"
"17970"	"nucleus"	"ENSG00000197958.12"	NA	NA	NA
"17971"	"nucleus"	"ENSG00000197959.13"	NA	NA	NA
"17972"	"nucleus"	"ENSG00000197961.11"	41.98	"protein_coding"	""
"17973"	"nucleus"	"ENSG00000197965.11"	NA	NA	NA
"17974"	"cytosol"	"ENSG00000197969.11"	NA	NA	NA
"17975"	"nucleus"	"ENSG00000197971.14"	NA	NA	NA
"17976"	"cytosol"	"ENSG00000197976.11"	NA	NA	NA
"17977"	"nucleus"	"ENSG00000197977.3"	NA	NA	NA
"17978"	"cytosol"	"ENSG00000197978.9"	47.43	"protein_coding"	""
"17979"	"cytosol"	"ENSG00000197980.12"	NA	NA	NA
"17980"	"nucleus"	"ENSG00000197982.13"	NA	NA	NA
"17981"	"non-localized"	"ENSG00000197984.4"	NA	NA	NA
"17982"	"cytosol"	"ENSG00000197989.13"	NA	NA	NA
"17983"	"non-localized"	"ENSG00000197990.6"	NA	NA	NA
"17984"	"non-localized"	"ENSG00000197991.11"	38.48	"protein_coding"	"TMhelix"
"17985"	"nucleus"	"ENSG00000197992.6"	NA	NA	NA
"17986"	"cytosol"	"ENSG00000197993.7"	NA	NA	NA
"17987"	"cytosol"	"ENSG00000198000.11"	NA	NA	NA
"17988"	"nucleus"	"ENSG00000198001.13"	NA	NA	NA
"17989"	"cytosol"	"ENSG00000198003.11"	NA	NA	NA
"17990"	"nucleus"	"ENSG00000198010.12"	47.91	"protein_coding"	""
"17991"	"nucleus"	"ENSG00000198015.12"	NA	NA	NA
"17992"	"nucleus"	"ENSG00000198018.6"	NA	NA	NA
"17993"	"nucleus"	"ENSG00000198019.12"	NA	NA	NA
"17994"	"non-localized"	"ENSG00000198021.7"	50.82	"protein_coding"	""
"17995"	"non-localized"	"ENSG00000198022.6"	NA	NA	NA
"17996"	"cytosol"	"ENSG00000198026.7"	NA	NA	NA
"17997"	"nucleus"	"ENSG00000198028.3"	NA	NA	NA
"17998"	"nucleus"	"ENSG00000198033.11"	NA	NA	NA
"17999"	"nucleus"	"ENSG00000198034.10"	NA	NA	NA
"18000"	"nucleus"	"ENSG00000198039.11"	44.96	"protein_coding"	""
"18001"	"cytosol"	"ENSG00000198040.10"	39.16	"protein_coding"	""
"18002"	"nucleus"	"ENSG00000198042.10"	NA	NA	NA
"18003"	"nucleus"	"ENSG00000198046.11"	NA	NA	NA
"18004"	"non-localized"	"ENSG00000198049.6"	NA	NA	NA
"18005"	"nucleus"	"ENSG00000198053.11"	51.36	"protein_coding"	"TMhelix"
"18006"	"nucleus"	"ENSG00000198054.11"	NA	NA	NA
"18007"	"nucleus"	"ENSG00000198055.10"	NA	NA	NA
"18008"	"nucleus"	"ENSG00000198056.13"	NA	NA	NA
"18009"	"cytosol"	"ENSG00000198060.9"	NA	NA	NA
"18010"	"non-localized"	"ENSG00000198062.14"	NA	NA	NA
"18011"	"cytosol"	"ENSG00000198064.13"	46.11	"protein_coding"	""
"18012"	"cytosol"	"ENSG00000198064.13"	46.11	"protein_coding"	"TMhelix"
"18013"	"non-localized"	"ENSG00000198074.9"	NA	NA	NA
"18014"	"nucleus"	"ENSG00000198075.9"	NA	NA	NA
"18015"	"non-localized"	"ENSG00000198077.10"	53.54	"protein_coding"	"TMhelix"
"18016"	"non-localized"	"ENSG00000198077.10"	53.54	"protein_coding"	""
"18017"	"cytosol"	"ENSG00000198081.10"	NA	NA	NA
"18018"	"non-localized"	"ENSG00000198083.9"	49.75	"protein_coding"	""
"18019"	"nucleus"	"ENSG00000198087.7"	36.38	"protein_coding"	""
"18020"	"cytosol"	"ENSG00000198088.10"	37.06	"protein_coding"	""
"18021"	"cytosol"	"ENSG00000198089.15"	NA	NA	NA
"18022"	"non-localized"	"ENSG00000198090.3"	54.03	"protein_coding"	""
"18023"	"cytosol"	"ENSG00000198092.5"	NA	NA	NA
"18024"	"cytosol"	"ENSG00000198093.10"	NA	NA	NA
"18025"	"non-localized"	"ENSG00000198099.8"	37.53	"protein_coding"	""
"18026"	"cytosol"	"ENSG00000198104.3"	37.4	"protein_coding"	"TMhelix"
"18027"	"cytosol"	"ENSG00000198105.13"	NA	NA	NA
"18028"	"cytosol"	"ENSG00000198106.8"	NA	NA	NA
"18029"	"nucleus"	"ENSG00000198108.3"	NA	NA	NA
"18030"	"nucleus"	"ENSG00000198113.2"	NA	NA	NA
"18031"	"non-localized"	"ENSG00000198121.13"	38.26	"protein_coding"	"TMhelix"
"18032"	"non-localized"	"ENSG00000198125.12"	NA	NA	NA
"18033"	"non-localized"	"ENSG00000198129.2"	NA	NA	NA
"18034"	"cytosol"	"ENSG00000198130.15"	NA	NA	NA
"18035"	"nucleus"	"ENSG00000198131.13"	NA	NA	NA
"18036"	"nucleus"	"ENSG00000198133.8"	48.53	"protein_coding"	""
"18037"	"nucleus"	"ENSG00000198133.8"	48.53	"protein_coding"	"TMhelix"
"18038"	"non-localized"	"ENSG00000198134.3"	NA	NA	NA
"18039"	"non-localized"	"ENSG00000198142.4"	NA	NA	NA
"18040"	"nucleus"	"ENSG00000198146.4"	37.91	"protein_coding"	""
"18041"	"nucleus"	"ENSG00000198153.8"	NA	NA	NA
"18042"	"nucleus"	"ENSG00000198155.5"	NA	NA	NA
"18043"	"cytosol"	"ENSG00000198156.10"	46.08	"protein_coding"	""
"18044"	"nucleus"	"ENSG00000198157.10"	NA	NA	NA
"18045"	"cytosol"	"ENSG00000198160.14"	36.15	"protein_coding"	""
"18046"	"nucleus"	"ENSG00000198162.12"	35.34	"protein_coding"	"TMhelix"
"18047"	"nucleus"	"ENSG00000198162.12"	35.34	"protein_coding"	""
"18048"	"nucleus"	"ENSG00000198168.8"	NA	NA	NA
"18049"	"cytosol"	"ENSG00000198169.8"	NA	NA	NA
"18050"	"nucleus"	"ENSG00000198171.12"	NA	NA	NA
"18051"	"non-localized"	"ENSG00000198173.4"	NA	NA	NA
"18052"	"nucleus"	"ENSG00000198176.12"	NA	NA	NA
"18053"	"non-localized"	"ENSG00000198178.10"	45.19	"protein_coding"	"TMhelix"
"18054"	"non-localized"	"ENSG00000198178.10"	45.19	"protein_coding"	""
"18055"	"nucleus"	"ENSG00000198182.12"	NA	NA	NA
"18056"	"non-localized"	"ENSG00000198183.11"	NA	NA	NA
"18057"	"cytosol"	"ENSG00000198185.11"	40.56	"protein_coding"	""
"18058"	"nucleus"	"ENSG00000198189.10"	NA	NA	NA
"18059"	"cytosol"	"ENSG00000198198.15"	NA	NA	NA
"18060"	"nucleus"	"ENSG00000198203.9"	NA	NA	NA
"18061"	"nucleus"	"ENSG00000198205.6"	50.86	"protein_coding"	""
"18062"	"cytosol"	"ENSG00000198208.11"	NA	NA	NA
"18063"	"nucleus"	"ENSG00000198211.8"	58.94	"protein_coding"	"TMhelix"
"18064"	"cytosol"	"ENSG00000198216.10"	NA	NA	NA
"18065"	"non-localized"	"ENSG00000198217.4"	NA	NA	NA
"18066"	"cytosol"	"ENSG00000198218.10"	NA	NA	NA
"18067"	"cytosol"	"ENSG00000198221.8"	NA	NA	NA
"18068"	"non-localized"	"ENSG00000198223.16"	50.88	"protein_coding"	"TMhelix"
"18069"	"non-localized"	"ENSG00000198223.16"	50.88	"protein_coding"	""
"18070"	"nucleus"	"ENSG00000198225.5"	47.25	"protein_coding"	""
"18071"	"cytosol"	"ENSG00000198231.12"	NA	NA	NA
"18072"	"cytosol"	"ENSG00000198237.8"	NA	NA	NA
"18073"	"nucleus"	"ENSG00000198242.13"	NA	NA	NA
"18074"	"nucleus"	"ENSG00000198246.7"	NA	NA	NA
"18075"	"non-localized"	"ENSG00000198251.7"	NA	NA	NA
"18076"	"nucleus"	"ENSG00000198252.11"	NA	NA	NA
"18077"	"nucleus"	"ENSG00000198258.10"	52.38	"protein_coding"	""
"18078"	"non-localized"	"ENSG00000198261.3"	NA	NA	NA
"18079"	"nucleus"	"ENSG00000198265.11"	NA	NA	NA
"18080"	"nucleus"	"ENSG00000198270.12"	NA	NA	NA
"18081"	"non-localized"	"ENSG00000198271.4"	NA	NA	NA
"18082"	"cytosol"	"ENSG00000198276.15"	NA	NA	NA
"18083"	"non-localized"	"ENSG00000198277.6"	NA	NA	NA
"18084"	"non-localized"	"ENSG00000198283.2"	47.91	"protein_coding"	"TMhelix"
"18085"	"non-localized"	"ENSG00000198284.9"	NA	NA	NA
"18086"	"nucleus"	"ENSG00000198286.9"	49.24	"protein_coding"	""
"18087"	"nucleus"	"ENSG00000198298.12"	NA	NA	NA
"18088"	"cytosol"	"ENSG00000198300.12"	NA	NA	NA
"18089"	"nucleus"	"ENSG00000198301.11"	NA	NA	NA
"18090"	"cytosol"	"ENSG00000198312.4"	NA	NA	NA
"18091"	"cytosol"	"ENSG00000198315.10"	NA	NA	NA
"18092"	"nucleus"	"ENSG00000198324.13"	57.94	"protein_coding"	""
"18093"	"cytosol"	"ENSG00000198326.9"	52.77	"protein_coding"	"TMhelix"
"18094"	"nucleus"	"ENSG00000198331.10"	41.34	"protein_coding"	""
"18095"	"nucleus"	"ENSG00000198336.9"	45.91	"protein_coding"	""
"18096"	"nucleus"	"ENSG00000198342.9"	NA	NA	NA
"18097"	"nucleus"	"ENSG00000198346.10"	NA	NA	NA
"18098"	"cytosol"	"ENSG00000198353.7"	NA	NA	NA
"18099"	"nucleus"	"ENSG00000198355.4"	NA	NA	NA
"18100"	"nucleus"	"ENSG00000198356.11"	NA	NA	NA
"18101"	"non-localized"	"ENSG00000198358.4"	NA	NA	NA
"18102"	"cytosol"	"ENSG00000198363.17"	NA	NA	NA
"18103"	"non-localized"	"ENSG00000198367.3"	NA	NA	NA
"18104"	"nucleus"	"ENSG00000198369.9"	NA	NA	NA
"18105"	"cytosol"	"ENSG00000198373.12"	45.6	"protein_coding"	""
"18106"	"nucleus"	"ENSG00000198380.12"	NA	NA	NA
"18107"	"nucleus"	"ENSG00000198382.8"	NA	NA	NA
"18108"	"non-localized"	"ENSG00000198384.8"	NA	NA	NA
"18109"	"non-localized"	"ENSG00000198390.4"	NA	NA	NA
"18110"	"nucleus"	"ENSG00000198393.7"	NA	NA	NA
"18111"	"cytosol"	"ENSG00000198398.2"	37.7	"protein_coding"	"TMhelix"
"18112"	"nucleus"	"ENSG00000198399.14"	39.9	"protein_coding"	""
"18113"	"cytosol"	"ENSG00000198400.11"	53.11	"protein_coding"	"TMhelix"
"18114"	"cytosol"	"ENSG00000198400.11"	53.11	"protein_coding"	""
"18115"	"nucleus"	"ENSG00000198406.7"	NA	NA	NA
"18116"	"cytosol"	"ENSG00000198408.13"	NA	NA	NA
"18117"	"non-localized"	"ENSG00000198414.5"	NA	NA	NA
"18118"	"cytosol"	"ENSG00000198416.9"	NA	NA	NA
"18119"	"nucleus"	"ENSG00000198417.6"	NA	NA	NA
"18120"	"nucleus"	"ENSG00000198420.9"	NA	NA	NA
"18121"	"nucleus"	"ENSG00000198429.9"	NA	NA	NA
"18122"	"nucleus"	"ENSG00000198431.15"	NA	NA	NA
"18123"	"nucleus"	"ENSG00000198435.3"	NA	NA	NA
"18124"	"cytosol"	"ENSG00000198440.9"	38.95	"protein_coding"	""
"18125"	"non-localized"	"ENSG00000198443.6"	46.33	"protein_coding"	""
"18126"	"nucleus"	"ENSG00000198445.4"	55.19	"protein_coding"	""
"18127"	"nucleus"	"ENSG00000198453.12"	NA	NA	NA
"18128"	"non-localized"	"ENSG00000198454.2"	NA	NA	NA
"18129"	"nucleus"	"ENSG00000198455.4"	46.1	"protein_coding"	""
"18130"	"nucleus"	"ENSG00000198464.13"	NA	NA	NA
"18131"	"nucleus"	"ENSG00000198466.11"	NA	NA	NA
"18132"	"cytosol"	"ENSG00000198467.13"	NA	NA	NA
"18133"	"nucleus"	"ENSG00000198468.7"	NA	NA	NA
"18134"	"non-localized"	"ENSG00000198471.1"	52.76	"protein_coding"	"TMhelix"
"18135"	"nucleus"	"ENSG00000198478.7"	NA	NA	NA
"18136"	"nucleus"	"ENSG00000198482.11"	NA	NA	NA
"18137"	"nucleus"	"ENSG00000198483.12"	NA	NA	NA
"18138"	"nucleus"	"ENSG00000198488.10"	53.6	"protein_coding"	"TMhelix"
"18139"	"non-localized"	"ENSG00000198491.3"	NA	NA	NA
"18140"	"nucleus"	"ENSG00000198492.15"	NA	NA	NA
"18141"	"nucleus"	"ENSG00000198496.10"	NA	NA	NA
"18142"	"cytosol"	"ENSG00000198498.9"	NA	NA	NA
"18143"	"non-localized"	"ENSG00000198502.5"	NA	NA	NA
"18144"	"nucleus"	"ENSG00000198513.11"	NA	NA	NA
"18145"	"cytosol"	"ENSG00000198515.13"	NA	NA	NA
"18146"	"cytosol"	"ENSG00000198517.9"	NA	NA	NA
"18147"	"cytosol"	"ENSG00000198520.10"	NA	NA	NA
"18148"	"cytosol"	"ENSG00000198521.11"	NA	NA	NA
"18149"	"nucleus"	"ENSG00000198522.13"	NA	NA	NA
"18150"	"nucleus"	"ENSG00000198523.5"	NA	NA	NA
"18151"	"non-localized"	"ENSG00000198526.7"	NA	NA	NA
"18152"	"cytosol"	"ENSG00000198535.5"	52.12	"protein_coding"	""
"18153"	"nucleus"	"ENSG00000198538.10"	NA	NA	NA
"18154"	"nucleus"	"ENSG00000198542.13"	NA	NA	NA
"18155"	"nucleus"	"ENSG00000198546.14"	NA	NA	NA
"18156"	"cytosol"	"ENSG00000198547.8"	NA	NA	NA
"18157"	"nucleus"	"ENSG00000198551.9"	NA	NA	NA
"18158"	"nucleus"	"ENSG00000198553.8"	NA	NA	NA
"18159"	"nucleus"	"ENSG00000198554.11"	NA	NA	NA
"18160"	"non-localized"	"ENSG00000198555.7"	NA	NA	NA
"18161"	"cytosol"	"ENSG00000198556.13"	NA	NA	NA
"18162"	"nucleus"	"ENSG00000198561.13"	NA	NA	NA
"18163"	"nucleus"	"ENSG00000198563.13"	NA	NA	NA
"18164"	"nucleus"	"ENSG00000198569.9"	NA	NA	NA
"18165"	"non-localized"	"ENSG00000198570.5"	51.2	"protein_coding"	""
"18166"	"non-localized"	"ENSG00000198573.6"	NA	NA	NA
"18167"	"nucleus"	"ENSG00000198574.5"	NA	NA	NA
"18168"	"nucleus"	"ENSG00000198576.3"	NA	NA	NA
"18169"	"non-localized"	"ENSG00000198580.7"	NA	NA	NA
"18170"	"nucleus"	"ENSG00000198585.11"	NA	NA	NA
"18171"	"nucleus"	"ENSG00000198586.13"	NA	NA	NA
"18172"	"nucleus"	"ENSG00000198589.10"	NA	NA	NA
"18173"	"cytosol"	"ENSG00000198590.11"	NA	NA	NA
"18174"	"non-localized"	"ENSG00000198597.8"	NA	NA	NA
"18175"	"cytosol"	"ENSG00000198598.6"	61.93	"protein_coding"	""
"18176"	"non-localized"	"ENSG00000198601.3"	35.3	"protein_coding"	"TMhelix"
"18177"	"nucleus"	"ENSG00000198604.10"	NA	NA	NA
"18178"	"non-localized"	"ENSG00000198610.10"	NA	NA	NA
"18179"	"nucleus"	"ENSG00000198612.10"	NA	NA	NA
"18180"	"nucleus"	"ENSG00000198618.5"	NA	NA	NA
"18181"	"nucleus"	"ENSG00000198624.12"	NA	NA	NA
"18182"	"cytosol"	"ENSG00000198625.12"	NA	NA	NA
"18183"	"nucleus"	"ENSG00000198626.15"	NA	NA	NA
"18184"	"nucleus"	"ENSG00000198633.10"	42.56	"protein_coding"	""
"18185"	"non-localized"	"ENSG00000198642.6"	NA	NA	NA
"18186"	"cytosol"	"ENSG00000198643.6"	NA	NA	NA
"18187"	"nucleus"	"ENSG00000198646.13"	NA	NA	NA
"18188"	"nucleus"	"ENSG00000198648.10"	NA	NA	NA
"18189"	"non-localized"	"ENSG00000198650.10"	NA	NA	NA
"18190"	"nucleus"	"ENSG00000198658.4"	NA	NA	NA
"18191"	"nucleus"	"ENSG00000198663.16"	42.84	"protein_coding"	""
"18192"	"nucleus"	"ENSG00000198663.16"	42.84	"protein_coding"	"TMhelix"
"18193"	"nucleus"	"ENSG00000198668.10"	NA	NA	NA
"18194"	"cytosol"	"ENSG00000198670.11"	NA	NA	NA
"18195"	"non-localized"	"ENSG00000198671.3"	NA	NA	NA
"18196"	"cytosol"	"ENSG00000198673.10"	36.8	"protein_coding"	""
"18197"	"cytosol"	"ENSG00000198673.10"	36.8	"protein_coding"	"TMhelix"
"18198"	"non-localized"	"ENSG00000198674.3"	50.55	"protein_coding"	"TMhelix"
"18199"	"cytosol"	"ENSG00000198677.10"	NA	NA	NA
"18200"	"non-localized"	"ENSG00000198678.5"	43.12	"protein_coding"	"TMhelix"
"18201"	"non-localized"	"ENSG00000198680.4"	52.44	"protein_coding"	""
"18202"	"nucleus"	"ENSG00000198681.6"	NA	NA	NA
"18203"	"cytosol"	"ENSG00000198682.12"	NA	NA	NA
"18204"	"cytosol"	"ENSG00000198685.3"	NA	NA	NA
"18205"	"nucleus"	"ENSG00000198689.10"	NA	NA	NA
"18206"	"cytosol"	"ENSG00000198690.9"	NA	NA	NA
"18207"	"cytosol"	"ENSG00000198691.11"	NA	NA	NA
"18208"	"nucleus"	"ENSG00000198692.9"	NA	NA	NA
"18209"	"cytosol"	"ENSG00000198695.2"	42.67	"protein_coding"	"TMhelix"
"18210"	"nucleus"	"ENSG00000198700.9"	NA	NA	NA
"18211"	"non-localized"	"ENSG00000198703.2"	NA	NA	NA
"18212"	"non-localized"	"ENSG00000198704.9"	42.59	"protein_coding"	""
"18213"	"nucleus"	"ENSG00000198707.14"	NA	NA	NA
"18214"	"cytosol"	"ENSG00000198711.5"	NA	NA	NA
"18215"	"nucleus"	"ENSG00000198712.1"	46.2	"protein_coding"	"TMhelix"
"18216"	"nucleus"	"ENSG00000198715.11"	NA	NA	NA
"18217"	"cytosol"	"ENSG00000198718.12"	NA	NA	NA
"18218"	"nucleus"	"ENSG00000198719.8"	NA	NA	NA
"18219"	"cytosol"	"ENSG00000198720.12"	NA	NA	NA
"18220"	"nucleus"	"ENSG00000198721.12"	41.7	"protein_coding"	""
"18221"	"cytosol"	"ENSG00000198722.14"	41.63	"protein_coding"	""
"18222"	"cytosol"	"ENSG00000198723.10"	NA	NA	NA
"18223"	"nucleus"	"ENSG00000198727.2"	46.28	"protein_coding"	"TMhelix"
"18224"	"cytosol"	"ENSG00000198728.10"	NA	NA	NA
"18225"	"nucleus"	"ENSG00000198729.4"	NA	NA	NA
"18226"	"nucleus"	"ENSG00000198730.7"	NA	NA	NA
"18227"	"cytosol"	"ENSG00000198732.10"	NA	NA	NA
"18228"	"nucleus"	"ENSG00000198734.10"	NA	NA	NA
"18229"	"nucleus"	"ENSG00000198736.11"	58.61	"protein_coding"	""
"18230"	"non-localized"	"ENSG00000198738.4"	NA	NA	NA
"18231"	"non-localized"	"ENSG00000198739.10"	NA	NA	NA
"18232"	"nucleus"	"ENSG00000198740.8"	41.52	"protein_coding"	""
"18233"	"nucleus"	"ENSG00000198742.9"	42.72	"protein_coding"	""
"18234"	"nucleus"	"ENSG00000198744.5"	NA	NA	NA
"18235"	"nucleus"	"ENSG00000198746.12"	NA	NA	NA
"18236"	"cytosol"	"ENSG00000198752.10"	NA	NA	NA
"18237"	"cytosol"	"ENSG00000198753.11"	NA	NA	NA
"18238"	"cytosol"	"ENSG00000198754.5"	63.36	"protein_coding"	""
"18239"	"nucleus"	"ENSG00000198755.10"	NA	NA	NA
"18240"	"cytosol"	"ENSG00000198756.10"	NA	NA	NA
"18241"	"cytosol"	"ENSG00000198758.10"	53.84	"protein_coding"	""
"18242"	"non-localized"	"ENSG00000198759.11"	NA	NA	NA
"18243"	"nucleus"	"ENSG00000198763.3"	42.99	"protein_coding"	"TMhelix"
"18244"	"non-localized"	"ENSG00000198765.11"	NA	NA	NA
"18245"	"cytosol"	"ENSG00000198768.10"	NA	NA	NA
"18246"	"nucleus"	"ENSG00000198771.10"	NA	NA	NA
"18247"	"nucleus"	"ENSG00000198774.4"	NA	NA	NA
"18248"	"cytosol"	"ENSG00000198780.11"	NA	NA	NA
"18249"	"nucleus"	"ENSG00000198783.5"	NA	NA	NA
"18250"	"non-localized"	"ENSG00000198785.4"	NA	NA	NA
"18251"	"nucleus"	"ENSG00000198786.2"	44.92	"protein_coding"	"TMhelix"
"18252"	"non-localized"	"ENSG00000198787.5"	NA	NA	NA
"18253"	"cytosol"	"ENSG00000198788.8"	64.12	"protein_coding"	""
"18254"	"nucleus"	"ENSG00000198791.11"	NA	NA	NA
"18255"	"nucleus"	"ENSG00000198792.12"	NA	NA	NA
"18256"	"cytosol"	"ENSG00000198793.12"	NA	NA	NA
"18257"	"nucleus"	"ENSG00000198794.11"	NA	NA	NA
"18258"	"nucleus"	"ENSG00000198795.10"	NA	NA	NA
"18259"	"cytosol"	"ENSG00000198796.6"	NA	NA	NA
"18260"	"non-localized"	"ENSG00000198797.6"	NA	NA	NA
"18261"	"non-localized"	"ENSG00000198798.5"	49.87	"protein_coding"	""
"18262"	"nucleus"	"ENSG00000198799.11"	NA	NA	NA
"18263"	"nucleus"	"ENSG00000198804.2"	46.24	"protein_coding"	"TMhelix"
"18264"	"nucleus"	"ENSG00000198805.11"	NA	NA	NA
"18265"	"nucleus"	"ENSG00000198807.12"	NA	NA	NA
"18266"	"cytosol"	"ENSG00000198812.4"	NA	NA	NA
"18267"	"nucleus"	"ENSG00000198814.12"	38.63	"protein_coding"	""
"18268"	"nucleus"	"ENSG00000198815.8"	NA	NA	NA
"18269"	"nucleus"	"ENSG00000198816.6"	NA	NA	NA
"18270"	"nucleus"	"ENSG00000198818.9"	NA	NA	NA
"18271"	"cytosol"	"ENSG00000198821.10"	47.24	"protein_coding"	"TMhelix"
"18272"	"non-localized"	"ENSG00000198822.10"	36.97	"protein_coding"	"TMhelix"
"18273"	"non-localized"	"ENSG00000198822.10"	36.97	"protein_coding"	""
"18274"	"nucleus"	"ENSG00000198824.5"	NA	NA	NA
"18275"	"nucleus"	"ENSG00000198825.12"	NA	NA	NA
"18276"	"nucleus"	"ENSG00000198826.10"	NA	NA	NA
"18277"	"nucleus"	"ENSG00000198829.6"	33.38	"protein_coding"	"TMhelix"
"18278"	"cytosol"	"ENSG00000198830.10"	NA	NA	NA
"18279"	"nucleus"	"ENSG00000198832.10"	49.48	"protein_coding"	"TMhelix"
"18280"	"nucleus"	"ENSG00000198833.6"	NA	NA	NA
"18281"	"nucleus"	"ENSG00000198835.3"	NA	NA	NA
"18282"	"nucleus"	"ENSG00000198836.8"	NA	NA	NA
"18283"	"cytosol"	"ENSG00000198837.9"	NA	NA	NA
"18284"	"cytosol"	"ENSG00000198838.13"	41.56	"protein_coding"	"TMhelix"
"18285"	"cytosol"	"ENSG00000198838.13"	41.56	"protein_coding"	""
"18286"	"nucleus"	"ENSG00000198839.9"	NA	NA	NA
"18287"	"nucleus"	"ENSG00000198840.2"	40.17	"protein_coding"	"TMhelix"
"18288"	"nucleus"	"ENSG00000198841.3"	NA	NA	NA
"18289"	"non-localized"	"ENSG00000198842.9"	NA	NA	NA
"18290"	"nucleus"	"ENSG00000198843.12"	NA	NA	NA
"18291"	"nucleus"	"ENSG00000198844.10"	NA	NA	NA
"18292"	"nucleus"	"ENSG00000198846.5"	NA	NA	NA
"18293"	"cytosol"	"ENSG00000198848.12"	NA	NA	NA
"18294"	"nucleus"	"ENSG00000198851.9"	NA	NA	NA
"18295"	"cytosol"	"ENSG00000198853.11"	NA	NA	NA
"18296"	"non-localized"	"ENSG00000198854.5"	55.01	"protein_coding"	""
"18297"	"cytosol"	"ENSG00000198855.6"	NA	NA	NA
"18298"	"nucleus"	"ENSG00000198856.12"	NA	NA	NA
"18299"	"non-localized"	"ENSG00000198857.3"	NA	NA	NA
"18300"	"nucleus"	"ENSG00000198858.9"	NA	NA	NA
"18301"	"nucleus"	"ENSG00000198860.11"	NA	NA	NA
"18302"	"cytosol"	"ENSG00000198862.13"	NA	NA	NA
"18303"	"nucleus"	"ENSG00000198863.7"	47.47	"protein_coding"	""
"18304"	"nucleus"	"ENSG00000198865.9"	NA	NA	NA
"18305"	"cytosol"	"ENSG00000198868.3"	NA	NA	NA
"18306"	"nucleus"	"ENSG00000198870.7"	NA	NA	NA
"18307"	"nucleus"	"ENSG00000198873.11"	NA	NA	NA
"18308"	"nucleus"	"ENSG00000198874.12"	NA	NA	NA
"18309"	"nucleus"	"ENSG00000198876.12"	NA	NA	NA
"18310"	"cytosol"	"ENSG00000198879.11"	NA	NA	NA
"18311"	"nucleus"	"ENSG00000198881.9"	NA	NA	NA
"18312"	"nucleus"	"ENSG00000198883.11"	NA	NA	NA
"18313"	"nucleus"	"ENSG00000198885.9"	50.7	"protein_coding"	"TMhelix"
"18314"	"nucleus"	"ENSG00000198885.9"	50.7	"protein_coding"	""
"18315"	"nucleus"	"ENSG00000198886.2"	44.27	"protein_coding"	"TMhelix"
"18316"	"cytosol"	"ENSG00000198887.8"	NA	NA	NA
"18317"	"nucleus"	"ENSG00000198888.2"	47.7	"protein_coding"	"TMhelix"
"18318"	"non-localized"	"ENSG00000198889.4"	NA	NA	NA
"18319"	"nucleus"	"ENSG00000198890.7"	NA	NA	NA
"18320"	"nucleus"	"ENSG00000198892.6"	NA	NA	NA
"18321"	"nucleus"	"ENSG00000198894.7"	NA	NA	NA
"18322"	"nucleus"	"ENSG00000198898.13"	NA	NA	NA
"18323"	"nucleus"	"ENSG00000198899.2"	44.2	"protein_coding"	"TMhelix"
"18324"	"nucleus"	"ENSG00000198900.5"	NA	NA	NA
"18325"	"cytosol"	"ENSG00000198901.13"	NA	NA	NA
"18326"	"nucleus"	"ENSG00000198908.11"	NA	NA	NA
"18327"	"nucleus"	"ENSG00000198909.7"	NA	NA	NA
"18328"	"cytosol"	"ENSG00000198910.12"	NA	NA	NA
"18329"	"nucleus"	"ENSG00000198911.11"	NA	NA	NA
"18330"	"nucleus"	"ENSG00000198912.10"	NA	NA	NA
"18331"	"nucleus"	"ENSG00000198915.11"	56.36	"protein_coding"	""
"18332"	"nucleus"	"ENSG00000198917.12"	NA	NA	NA
"18333"	"nucleus"	"ENSG00000198918.7"	NA	NA	NA
"18334"	"cytosol"	"ENSG00000198919.12"	NA	NA	NA
"18335"	"cytosol"	"ENSG00000198920.9"	NA	NA	NA
"18336"	"non-localized"	"ENSG00000198923.4"	NA	NA	NA
"18337"	"nucleus"	"ENSG00000198924.7"	NA	NA	NA
"18338"	"nucleus"	"ENSG00000198925.10"	NA	NA	NA
"18339"	"cytosol"	"ENSG00000198929.12"	NA	NA	NA
"18340"	"nucleus"	"ENSG00000198930.12"	NA	NA	NA
"18341"	"nucleus"	"ENSG00000198931.10"	NA	NA	NA
"18342"	"cytosol"	"ENSG00000198932.12"	NA	NA	NA
"18343"	"cytosol"	"ENSG00000198933.9"	58.66	"protein_coding"	""
"18344"	"nucleus"	"ENSG00000198934.4"	NA	NA	NA
"18345"	"nucleus"	"ENSG00000198937.8"	NA	NA	NA
"18346"	"nucleus"	"ENSG00000198938.2"	46.56	"protein_coding"	"TMhelix"
"18347"	"nucleus"	"ENSG00000198939.7"	NA	NA	NA
"18348"	"non-localized"	"ENSG00000198944.5"	NA	NA	NA
"18349"	"cytosol"	"ENSG00000198945.7"	NA	NA	NA
"18350"	"nucleus"	"ENSG00000198947.15"	36.42	"protein_coding"	""
"18351"	"nucleus"	"ENSG00000198948.11"	NA	NA	NA
"18352"	"nucleus"	"ENSG00000198951.11"	NA	NA	NA
"18353"	"cytosol"	"ENSG00000198952.8"	49.82	"protein_coding"	""
"18354"	"nucleus"	"ENSG00000198954.7"	NA	NA	NA
"18355"	"nucleus"	"ENSG00000198959.11"	NA	NA	NA
"18356"	"nucleus"	"ENSG00000198960.10"	NA	NA	NA
"18357"	"nucleus"	"ENSG00000198961.9"	NA	NA	NA
